RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599031002892,231 (CEFERESO 9),Enero,2025,3074.08,245.9259,0.0,0.0,-0.0059,3320.0,88.0,368.0,31.0,46.0,11.0,88.0,1.0,1.0,1.0,23.26,1.18,90.0
599031002892,231 (CEFERESO 9),Febrero,2025,3047.15,243.7778,0.0,0.0,0.0722,3291.0,80.0,360.0,29.0,41.0,10.0,80.0,1.0,1.0,1.0,21.69,1.19,90.0
599031002892,231 (CEFERESO 9),Abril,2025,3043.81,243.5556,0.0,0.0,0.6344,3288.0,792.0,386.0,26.0,744.0,5.0,775.0,1.0,68.0,1.0,89.51,0.19,90.0
599031002892,231 (CEFERESO 9),Julio,2025,3150.77,252.0741,0.0,0.0,0.1559,3403.0,96.0,305.0,32.0,58.0,6.0,96.0,1.0,1.0,1.0,30.02,1.29,90.0
599031002892,231 (CEFERESO 9),Agosto,2025,2686.96,214.963,0.0,0.0,0.077,2902.0,96.0,218.0,30.0,49.0,5.0,84.0,1.0,1.0,1.0,35.96,1.12,90.0
