RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599950610025,81-R,Enero,2025,1732.42,138.5926,1150.0,0.0,-0.0126,3021.0,329.0,0.0,115.0,172.0,42.0,329.0,1.0,1.0,1.0,99.99,4.42,134.0
599950610025,81-R,Febrero,2025,1609.86,128.7407,1150.0,0.0,-0.6007,2888.0,253.0,1.0,98.0,126.0,29.0,253.0,1.0,1.0,1.0,100.0,3.76,134.0
599950610025,81-R,Abril,2025,49586.93,3966.8889,1150.0,0.0,-0.8189,54703.0,17471.0,0.0,5535.0,10813.0,1122.0,17470.0,54.0,57.0,55.0,99.99,5.1,134.0
599950610025,81-R,Julio,2025,4550.57,364.0,1150.0,0.0,-0.57,6064.0,1420.0,0.0,451.0,880.0,89.0,1420.0,3.0,3.0,3.0,99.99,6.36,134.0
599950610025,81-R,Agosto,2025,31973.58,2557.9259,1150.0,0.0,0.4941,35682.0,1420.0,0.0,3334.0,6985.0,686.0,11005.0,54.0,61.0,55.0,99.99,2.42,134.0
