RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599080201833,234 (IVI 9),Enero,2025,2940.23,235.1852,1150.0,0.0,-0.4152,4325.0,338.0,699.0,117.0,178.0,43.0,338.0,1.0,1.0,1.0,43.53,4.54,124.0
599080201833,234 (IVI 9),Febrero,2025,2930.72,234.4444,1150.0,0.0,-0.1644,4315.0,306.0,660.0,109.0,159.0,38.0,306.0,1.0,1.0,1.0,42.06,4.55,124.0
599080201833,234 (IVI 9),Abril,2025,2895.25,231.6296,1150.0,0.0,0.1204,4277.0,277.0,489.0,78.0,130.0,13.0,221.0,1.0,1.0,1.0,41.18,3.68,124.0
599080201833,234 (IVI 9),Julio,2025,101467.31,8117.4074,1150.0,0.0,0.2826,110735.0,42939.0,17423.0,14130.0,26169.0,2640.0,42939.0,60.0,60.0,59.0,92.66,9.61,124.0
599080201833,234 (IVI 9),Agosto,2025,102709.23,8216.7407,1150.0,0.0,0.0293,112076.0,42939.0,18640.0,14981.0,26050.0,2467.0,43498.0,61.0,61.0,60.0,91.92,9.58,124.0
