RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599030803077,186,Enero,2025,236148.41,18891.8519,1150.0,0.0,-0.2619,256190.0,96709.0,69080.0,32972.0,51227.0,12510.0,96709.0,132.0,132.0,132.0,81.37,9.84,160.0
599030803077,186,Febrero,2025,220607.03,17648.5926,1150.0,0.0,0.3774,239406.0,87596.0,62998.0,30728.0,45904.0,10964.0,87596.0,132.0,132.0,132.0,81.18,9.87,160.0
599030803077,186,Abril,2025,228182.98,18254.5926,1150.0,0.0,-0.5726,247587.0,93171.0,54008.0,26590.0,46248.0,4670.0,77508.0,132.0,132.0,131.0,82.05,9.78,160.0
599030803077,186,Julio,2025,244019.35,19521.5556,1150.0,0.0,0.0944,264691.0,98364.0,63242.0,32159.0,60066.0,6139.0,98364.0,137.0,138.0,137.0,84.11,9.58,160.0
599030803077,186,Agosto,2025,251553.4,20124.2222,1150.0,0.0,-0.6222,272827.0,98364.0,65493.0,35002.0,60857.0,5751.0,101610.0,152.0,154.0,141.0,84.05,8.86,160.0
