RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
595210353317,10 ACM,Enero,2025,3568.77,285.4815,1150.0,0.0,-0.2515,5004.0,230.0,866.0,79.0,121.0,30.0,230.0,1.0,1.0,1.0,25.67,3.09,100.0
595210353317,10 ACM,Febrero,2025,3494.24,279.5556,1150.0,0.0,0.2044,4924.0,209.0,789.0,74.0,109.0,26.0,209.0,1.0,1.0,1.0,25.61,3.11,100.0
595210353317,10 ACM,Abril,2025,3547.37,283.7778,1150.0,0.0,-0.1478,4981.0,224.0,705.0,64.0,111.0,11.0,186.0,1.0,1.0,1.0,25.51,3.1,100.0
595210353317,10 ACM,Julio,2025,3547.74,283.7778,1150.0,0.0,-0.5178,4981.0,798.0,720.0,210.0,531.0,57.0,798.0,2.0,2.0,2.0,74.25,5.36,100.0
595210353317,10 ACM,Agosto,2025,3481.61,278.5185,1150.0,0.0,-0.1285,4910.0,798.0,672.0,220.0,529.0,56.0,805.0,2.0,2.0,2.0,76.77,5.41,100.0
