RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599910800182,7-ZARA(158),Enero,2025,92663.47,7413.1111,1150.0,0.0,0.4189,101227.0,33642.0,13702.0,11801.0,17661.0,4180.0,33642.0,76.0,84.0,76.0,92.61,5.38,110.0
599910800182,7-ZARA(158),Febrero,2025,70756.68,5660.5185,1150.0,0.0,-0.1985,77567.0,28806.0,12995.0,9528.0,15574.0,3704.0,28806.0,48.0,48.0,47.0,91.15,8.93,110.0
599910800182,7-ZARA(158),Abril,2025,71375.51,5710.0741,1150.0,0.0,0.4159,78236.0,29837.0,6265.0,7825.0,16014.0,1691.0,25530.0,47.0,47.0,47.0,97.12,9.05,110.0
599910800182,7-ZARA(158),Julio,2025,73448.44,5875.8519,1150.0,0.0,-0.2919,80474.0,30120.0,6345.0,9279.0,18868.0,1973.0,30120.0,48.0,47.0,46.0,97.85,8.43,110.0
599910800182,7-ZARA(158),Agosto,2025,74486.01,5958.8889,1150.0,0.0,0.1011,81595.0,30120.0,6577.0,10095.0,19040.0,1843.0,30978.0,46.0,48.0,46.0,97.82,8.67,110.0
