RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599050501361,178,Enero,2025,2659.36,212.8148,1150.0,0.0,0.8252,4023.0,250.0,501.0,87.0,131.0,32.0,250.0,1.0,1.0,1.0,44.65,3.36,104.0
599050501361,178,Febrero,2025,2680.17,214.3704,1150.0,0.0,-0.5404,4044.0,217.0,464.0,78.0,112.0,27.0,217.0,1.0,1.0,1.0,42.36,3.22,104.0
599050501361,178,Abril,2025,2752.5,220.2222,1150.0,0.0,0.2778,4123.0,224.0,410.0,64.0,110.0,11.0,185.0,1.0,1.0,1.0,41.13,3.08,104.0
599050501361,178,Julio,2025,124428.21,9954.2222,1150.0,0.0,-0.4322,135532.0,52056.0,21263.0,16660.0,32105.0,3291.0,52056.0,74.0,74.0,74.0,92.58,9.45,104.0
599050501361,178,Agosto,2025,125522.32,10041.7778,1150.0,0.0,-0.0978,136714.0,52056.0,21789.0,18353.0,31903.0,3005.0,53261.0,74.0,74.0,74.0,92.55,9.67,104.0
