RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599910850031,68-R,Enero,2025,87075.1,6966.0,1150.0,0.0,-0.1,95191.0,38276.0,8119.0,13571.0,20020.0,4685.0,38276.0,55.0,55.0,54.0,97.82,9.35,170.0
599910850031,68-R,Febrero,2025,82345.59,6587.6296,1150.0,0.0,-0.2196,90083.0,35102.0,7180.0,12312.0,18394.0,4396.0,35102.0,54.0,54.0,54.0,97.97,9.67,170.0
599910850031,68-R,Abril,2025,85835.19,6866.8148,1150.0,0.0,-0.0048,93852.0,37361.0,6430.0,10534.0,18716.0,1886.0,31136.0,54.0,54.0,54.0,97.93,9.61,170.0
599910850031,68-R,Julio,2025,88600.42,7088.0,1150.0,0.0,-0.42,96838.0,37554.0,8062.0,12112.0,23075.0,2367.0,37554.0,53.0,54.0,53.0,97.77,9.34,170.0
599910850031,68-R,Agosto,2025,85862.75,6869.037,1150.0,0.0,0.213,93882.0,37554.0,7972.0,12458.0,21669.0,2032.0,36159.0,54.0,53.0,53.0,97.65,9.0,170.0
