RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
595210352701,25 ACM,Enero,2025,1561.2,124.8889,1150.0,0.0,-0.0889,2836.0,217.0,0.0,75.0,114.0,28.0,217.0,1.0,1.0,1.0,99.99,2.91,100.0
595210352701,25 ACM,Febrero,2025,1522.54,121.7778,1150.0,0.0,-0.3178,2794.0,192.0,0.0,68.0,100.0,24.0,192.0,1.0,1.0,1.0,99.99,2.85,100.0
595210352701,25 ACM,Abril,2025,1545.74,123.6296,1150.0,0.0,-0.3696,2819.0,207.0,0.0,59.0,101.0,10.0,170.0,1.0,1.0,1.0,99.99,2.83,100.0
595210352701,25 ACM,Julio,2025,1489.0,119.1111,1150.0,0.0,-0.1111,2758.0,154.0,0.0,51.0,93.0,10.0,154.0,1.0,1.0,1.0,99.99,2.07,100.0
595210352701,25 ACM,Agosto,2025,1481.8,118.5926,1150.0,0.0,0.6074,2751.0,154.0,0.0,52.0,89.0,9.0,150.0,1.0,1.0,1.0,99.99,2.01,100.0
