RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599000304432,152-R,Enero,2025,207650.95,16612.0741,1150.0,0.0,-0.0241,225413.0,91734.0,36291.0,30216.0,50396.0,11122.0,91734.0,144.0,144.0,118.0,92.99,8.56,160.0
599000304432,152-R,Febrero,2025,185896.6,14871.7778,1150.0,0.0,0.6222,201919.0,79323.0,31487.0,27717.0,42517.0,9089.0,79323.0,133.0,133.0,117.0,92.95,8.87,160.0
599000304432,152-R,Abril,2025,192936.65,15434.963,1150.0,0.0,0.387,209522.0,83459.0,27831.0,22699.0,42393.0,4140.0,69232.0,131.0,132.0,116.0,92.78,8.74,160.0
599000304432,152-R,Julio,2025,206635.31,16530.8148,1150.0,0.0,-0.1248,224316.0,87831.0,34986.0,28202.0,54434.0,5195.0,87831.0,134.0,134.0,118.0,92.9,8.81,160.0
599000304432,152-R,Agosto,2025,207901.77,16632.1481,1150.0,0.0,0.0819,225684.0,87831.0,35293.0,30174.0,54226.0,4801.0,89201.0,132.0,134.0,118.0,92.99,8.94,160.0
