RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599960602811,171,Enero,2025,2777.02,222.2222,1150.0,0.0,0.7578,4150.0,340.0,638.0,119.0,178.0,43.0,340.0,1.0,1.0,1.0,47.03,4.57,127.0
599960602811,171,Febrero,2025,2716.35,217.2593,1150.0,0.0,-0.6093,4083.0,279.0,554.0,101.0,144.0,34.0,279.0,1.0,1.0,1.0,44.98,4.15,127.0
599960602811,171,Abril,2025,2844.54,227.5556,1150.0,0.0,-0.0956,4222.0,313.0,530.0,91.0,152.0,16.0,259.0,1.0,1.0,1.0,43.91,4.31,127.0
599960602811,171,Julio,2025,120134.16,9610.7407,1150.0,0.0,0.0993,130895.0,48652.0,10711.0,16079.0,29613.0,2960.0,48652.0,80.0,80.0,80.0,97.66,8.17,127.0
599960602811,171,Agosto,2025,133744.75,10699.5556,1150.0,0.0,-0.3056,145594.0,48652.0,12566.0,19530.0,34538.0,3280.0,57348.0,80.0,81.0,80.0,97.68,9.51,127.0
