RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
595210351951,1 ACM,Enero,2025,146483.72,11718.6667,1150.0,0.0,-0.3867,159352.0,63174.0,21219.0,21334.0,33511.0,8329.0,63174.0,92.0,92.0,92.0,94.8,9.22,110.0
595210351951,1 ACM,Febrero,2025,135307.21,10824.5926,1150.0,0.0,0.1974,147282.0,57549.0,19361.0,20190.0,30134.0,7225.0,57549.0,89.0,89.0,88.0,94.78,9.62,110.0
595210351951,1 ACM,Abril,2025,142742.29,11419.4074,1150.0,0.0,0.3026,155312.0,62024.0,17449.0,17564.0,30999.0,3127.0,51690.0,88.0,90.0,89.0,94.75,9.57,110.0
595210351951,1 ACM,Julio,2025,145772.77,11661.8518,1150.0,0.0,0.3782,158585.0,61511.0,20736.0,19773.0,37909.0,3829.0,61511.0,88.0,87.0,87.0,94.76,9.39,110.0
595210351951,1 ACM,Agosto,2025,150410.37,12032.8148,1150.0,0.0,-0.1848,163593.0,61511.0,22941.0,21917.0,38358.0,3621.0,63896.0,88.0,94.0,89.0,94.12,9.13,110.0
