RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599951100489,104,Enero,2025,140730.65,11258.4444,1150.0,0.0,-0.0944,153139.0,58788.0,34731.0,19625.0,31427.0,7736.0,58788.0,82.0,84.0,83.0,86.1,9.4,124.0
599951100489,104,Febrero,2025,127511.86,10200.963,1150.0,0.0,0.177,138863.0,51027.0,30690.0,17569.0,27223.0,6235.0,51027.0,82.0,82.0,82.0,85.69,9.26,124.0
599951100489,104,Abril,2025,130781.05,10462.5185,1150.0,0.0,0.4315,142394.0,53507.0,25890.0,14432.0,27216.0,2739.0,44387.0,80.0,82.0,81.0,86.38,9.02,124.0
599951100489,104,Julio,2025,136515.56,10921.2593,1150.0,0.0,0.1807,148587.0,55333.0,31741.0,17645.0,34207.0,3481.0,55333.0,78.0,80.0,79.0,86.74,9.29,124.0
599951100489,104,Agosto,2025,135261.41,10820.8889,1150.0,0.0,-0.2989,147232.0,55333.0,31887.0,18678.0,33491.0,3183.0,55352.0,77.0,78.0,78.0,86.65,9.53,124.0
