RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599090604448,244,Enero,2025,179295.85,14343.7037,1150.0,0.0,0.4463,194790.0,78278.0,28231.0,26693.0,41458.0,10127.0,78278.0,114.0,109.0,109.0,94.07,9.22,150.0
599090604448,244,Febrero,2025,165064.77,13205.1852,1150.0,0.0,0.0448,179420.0,64606.0,23532.0,22080.0,34080.0,8446.0,64606.0,136.0,136.0,121.0,93.96,7.06,150.0
599090604448,244,Abril,2025,170468.45,13637.4815,1150.0,0.0,0.0685,185256.0,74454.0,22397.0,21184.0,37146.0,3728.0,62058.0,105.0,105.0,105.0,94.06,9.85,150.0
599090604448,244,Julio,2025,186183.51,14894.6667,1150.0,0.0,-0.1767,202228.0,77778.0,38528.0,25536.0,47400.0,4842.0,77778.0,110.0,110.0,109.0,89.61,9.5,150.0
599090604448,244,Agosto,2025,183569.96,14685.6296,1150.0,0.0,0.4104,199406.0,77778.0,32097.0,26773.0,46644.0,4406.0,77823.0,109.0,109.0,109.0,92.45,9.59,150.0
