RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599060700051,79-R,Enero,2025,2508.78,200.6667,1150.0,0.0,-0.4467,3859.0,249.0,454.0,95.0,117.0,37.0,249.0,1.0,1.0,1.0,48.09,3.34,120.0
599060700051,79-R,Febrero,2025,2585.84,206.8889,1150.0,0.0,0.2711,3943.0,219.0,442.0,86.0,100.0,33.0,219.0,1.0,1.0,1.0,44.4,3.25,120.0
599060700051,79-R,Abril,2025,2367.85,189.4815,1150.0,0.0,0.6685,3708.0,248.0,353.0,76.0,121.0,14.0,211.0,5.0,56.0,1.0,51.31,0.06,120.0
599060700051,79-R,Julio,2025,2427.8,194.2222,1150.0,0.0,-0.0222,3772.0,218.0,385.0,85.0,117.0,16.0,218.0,1.0,1.0,1.0,49.27,2.93,120.0
599060700051,79-R,Agosto,2025,2508.13,200.6667,1150.0,0.0,0.2033,3859.0,218.0,398.0,87.0,107.0,15.0,209.0,1.0,1.0,1.0,46.49,2.8,120.0
