RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599130601544,247,Enero,2025,187628.55,15010.2963,0.0,0.0,0.1537,202639.0,76272.0,43114.0,24554.0,41606.0,10112.0,76272.0,118.0,119.0,119.0,87.05,8.61,125.0
599130601544,247,Febrero,2025,183100.3,14648.0,0.0,0.0,-0.3,197748.0,74684.0,42569.0,26056.0,39170.0,9458.0,74684.0,117.0,117.0,117.0,86.88,9.49,125.0
599130601544,247,Abril,2025,192806.65,15424.5185,0.0,0.0,-0.1685,208231.0,81576.0,37971.0,23323.0,40540.0,4110.0,67973.0,117.0,116.0,116.0,87.3,9.68,125.0
599130601544,247,Julio,2025,203558.17,16284.6667,0.0,0.0,0.1633,219843.0,83867.0,46280.0,26931.0,51688.0,5248.0,83867.0,117.0,117.0,117.0,87.55,9.63,125.0
599130601544,247,Agosto,2025,201257.89,16100.5926,0.0,0.0,-0.4826,217358.0,83867.0,46376.0,28910.0,49721.0,4759.0,83390.0,119.0,118.0,116.0,87.39,9.41,125.0
