RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599060100755,80-AR,Enero,2025,85535.2,6842.8148,1150.0,0.0,-0.0148,93528.0,37120.0,14962.0,12319.0,19937.0,4864.0,37120.0,52.0,52.0,51.0,92.75,9.59,100.0
599060100755,80-AR,Febrero,2025,40878.62,3270.2222,1150.0,0.0,-0.8422,45298.0,13724.0,7275.0,5597.0,6654.0,1473.0,13724.0,52.0,52.0,51.0,88.35,3.92,100.0
599060100755,80-AR,Abril,2025,3830.75,306.4444,1150.0,0.0,-0.1944,5287.0,901.0,605.0,96.0,160.0,16.0,272.0,1.0,1.0,1.0,41.01,4.53,100.0
599060100755,80-AR,Julio,2025,4066.87,325.3333,1150.0,0.0,-0.2033,5542.0,989.0,564.0,293.0,631.0,65.0,989.0,3.0,3.0,3.0,86.87,4.43,100.0
599060100755,80-AR,Agosto,2025,4305.25,344.4444,1150.0,0.0,0.3056,5800.0,989.0,544.0,367.0,757.0,74.0,1198.0,3.0,3.0,3.0,91.05,5.36,100.0
