RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599950800088,60,Enero,2025,2480.43,198.4444,1150.0,0.0,0.1256,3829.0,260.0,454.0,91.0,136.0,33.0,260.0,1.0,1.0,1.0,49.7,3.49,150.0
599950800088,60,Febrero,2025,2635.8,210.8889,1150.0,0.0,0.3111,3997.0,292.0,539.0,104.0,152.0,36.0,292.0,1.0,2.0,1.0,47.63,2.17,150.0
599950800088,60,Abril,2025,2851.88,228.1482,1150.0,0.0,-0.0282,4230.0,275.0,494.0,78.0,130.0,13.0,221.0,1.0,1.0,1.0,40.84,3.68,150.0
599950800088,60,Julio,2025,2666.0,213.1852,1150.0,0.0,-1.1852,4028.0,262.0,502.0,88.0,158.0,16.0,262.0,1.0,1.0,1.0,46.27,3.52,150.0
599950800088(1),60,Julio,2025,615.36,49.2593,0.0,0.3889,-0.0082,665.0,263.0,502.0,88.0,158.0,16.0,262.0,1.0,1.0,1.0,46.27,3.52,150.0
599950800088,60,Agosto,2025,3268.74,261.5556,1150.0,0.0,0.7044,4681.0,262.0,559.0,45.0,76.0,8.0,129.0,1.0,1.0,1.0,22.49,1.73,150.0
