RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599030803069,183,Enero,2025,2743.52,219.4815,1150.0,0.0,-0.0015,4113.0,286.0,573.0,110.0,131.0,45.0,286.0,1.0,1.0,1.0,44.66,3.84,115.0
599030803069,183,Febrero,2025,163569.62,13085.5556,1150.0,0.0,-0.1756,177805.0,64349.0,33816.0,20440.0,34885.0,9024.0,64349.0,113.0,113.0,112.0,88.52,8.47,115.0
599030803069,183,Abril,2025,186342.93,14907.4074,1150.0,0.0,-0.3374,202400.0,79419.0,35230.0,22638.0,39771.0,4005.0,66414.0,113.0,112.0,113.0,88.34,9.79,115.0
599030803069,183,Julio,2025,201999.81,16160.0,1150.0,0.0,0.19,219310.0,84531.0,43761.0,27568.0,51714.0,5249.0,84531.0,116.0,116.0,116.0,88.81,9.79,115.0
599030803069,183,Agosto,2025,203056.6,16244.5185,1150.0,0.0,-0.1185,220451.0,84531.0,44600.0,29423.0,51104.0,4815.0,85342.0,117.0,117.0,117.0,88.63,9.8,115.0
