RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599030803042,165,Enero,2025,2626.09,210.0741,1150.0,0.0,-0.1641,3986.0,220.0,453.0,77.0,115.0,28.0,220.0,1.0,1.0,1.0,43.69,2.95,136.0
599030803042,165,Febrero,2025,2483.94,198.7407,1150.0,0.0,0.3193,3833.0,212.0,403.0,76.0,110.0,26.0,212.0,1.0,1.0,1.0,46.56,3.15,136.0
599030803042,165,Abril,2025,2666.87,213.3333,1150.0,0.0,-0.2033,4030.0,223.0,394.0,64.0,110.0,12.0,186.0,1.0,1.0,1.0,42.69,3.1,136.0
599030803042,165,Julio,2025,179409.73,14352.7407,1150.0,0.0,-0.4707,194912.0,77365.0,15081.0,25424.0,47108.0,4833.0,77365.0,106.0,106.0,106.0,98.15,9.81,136.0
599030803042,165,Agosto,2025,180623.05,14449.8518,1150.0,0.0,0.0982,196223.0,77365.0,15363.0,26933.0,46643.0,4401.0,77977.0,107.0,108.0,108.0,98.11,9.7,136.0
