RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599951100110,96,Enero,2025,2555.14,204.4444,1150.0,0.0,0.4156,3910.0,201.0,408.0,71.0,103.0,27.0,201.0,1.0,1.0,1.0,44.19,2.7,170.0
599951100110,96,Febrero,2025,2506.11,200.4444,1150.0,0.0,-0.5544,3856.0,181.0,368.0,65.0,92.0,24.0,181.0,1.0,1.0,1.0,44.14,2.69,170.0
599951100110,96,Abril,2025,2506.57,200.5185,1150.0,0.0,-0.0885,3857.0,181.0,304.0,53.0,86.0,10.0,149.0,1.0,2.0,1.0,44.01,1.24,170.0
599951100110,96,Julio,2025,2506.43,200.5185,1150.0,0.0,0.0515,3857.0,194.0,373.0,60.0,117.0,17.0,194.0,1.0,4.0,3.0,46.14,0.65,170.0
599951100110,96,Agosto,2025,5390.78,431.2593,1150.0,0.0,-0.0393,6972.0,194.0,520.0,539.0,956.0,95.0,1590.0,4.0,4.0,4.0,95.05,5.34,170.0
