RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599070500662,110,Enero,2025,134571.68,10765.7037,1150.0,0.0,-0.3837,146487.0,56286.0,31726.0,19415.0,29865.0,7006.0,56286.0,81.0,81.0,82.0,87.11,9.22,120.0
599070500662,110,Febrero,2025,127472.74,10197.8518,1150.0,0.0,0.4082,138821.0,52468.0,29841.0,18419.0,27469.0,6580.0,52468.0,80.0,80.0,80.0,86.92,9.76,120.0
599070500662,110,Abril,2025,133594.23,10687.5556,1150.0,0.0,0.2144,145432.0,56297.0,26874.0,16109.0,28090.0,2713.0,46912.0,80.0,80.0,80.0,86.77,9.77,120.0
599070500662,110,Julio,2025,133363.11,10669.037,1150.0,0.0,-0.147,145182.0,53917.0,30279.0,18063.0,32620.0,3234.0,53917.0,79.0,85.0,79.0,87.19,8.52,120.0
599070500662,110,Agosto,2025,115415.86,9233.3333,1150.0,0.0,0.8067,125800.0,53917.0,23414.0,14289.0,24861.0,2292.0,41442.0,80.0,90.0,84.0,87.07,6.18,120.0
