RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599940906431,136-R,Enero,2025,130695.71,10455.7037,1150.0,0.0,0.5863,142302.0,54895.0,10073.0,18766.0,29232.0,6897.0,54895.0,88.0,89.0,89.0,98.36,8.29,124.0
599940906431,136-R,Febrero,2025,113279.18,9062.2963,1150.0,0.0,-0.4763,123491.0,47830.0,8604.0,16472.0,25280.0,6078.0,47830.0,74.0,76.0,76.0,98.42,9.36,124.0
599940906431,136-R,Abril,2025,114903.8,9192.2963,1150.0,0.0,-0.0963,125246.0,49579.0,9919.0,13619.0,25021.0,2530.0,41170.0,74.0,72.0,73.0,97.22,9.27,124.0
599940906431,136-R,Julio,2025,137840.14,11027.1852,1150.0,0.0,-0.3252,150017.0,56155.0,13746.0,18179.0,34641.0,3335.0,56155.0,89.0,96.0,89.0,97.13,7.86,124.0
599940906431,136-R,Agosto,2025,148434.41,11874.8148,1150.0,0.0,0.7752,161460.0,56155.0,15863.0,21585.0,38258.0,3632.0,63475.0,88.0,88.0,89.0,97.02,9.58,124.0
