RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599900201361,142,Enero,2025,3535.25,282.8889,1150.0,0.0,0.8611,4969.0,374.0,986.0,148.0,168.0,58.0,374.0,1.0,1.0,1.0,35.47,5.02,152.0
599900201361,142,Febrero,2025,3589.04,287.1111,1150.0,0.0,-0.1511,5026.0,237.0,947.0,86.0,120.0,31.0,237.0,1.0,1.0,1.0,24.28,3.52,152.0
599900201361,142,Abril,2025,3626.7,290.1481,1150.0,0.0,0.1519,5067.0,248.0,772.0,73.0,119.0,13.0,205.0,1.0,1.0,1.0,25.66,3.41,152.0
599900201361,142,Julio,2025,3639.57,291.1852,1150.0,0.0,0.2448,5081.0,245.0,770.0,91.0,136.0,18.0,245.0,1.0,1.0,1.0,30.32,3.29,152.0
599900201361,142,Agosto,2025,3286.62,262.8889,1150.0,0.0,-0.5089,4699.0,245.0,762.0,135.0,135.0,25.0,295.0,1.0,1.0,1.0,36.1,3.96,152.0
