RPU,Sitio,Mes,Año,SUBTOTAL,IVA 8%,DAP,Cargos y depósitos,Créditos y redondeos,TOTAL RECIBO,KWH,KVARH,Consumo base,Consumo inter,Consumo punta,"TOTAL KWh (suma b,i,p)",Demanda Base,Demanda intermedia,Demanda punta,Factor de potencia,Factor de carga,Carga contratada (KW)
599080201841,235 (IVI 10),Enero,2025,121804.66,9744.3704,1150.0,0.0,-0.0304,132699.0,50714.0,22615.0,16056.0,27987.0,6671.0,50714.0,80.0,80.0,78.0,91.33,8.52,124.0
599080201841,235 (IVI 10),Febrero,2025,111600.27,8928.0741,1150.0,0.0,0.6559,121679.0,44397.0,19881.0,13924.0,24346.0,6127.0,44397.0,78.0,78.0,77.0,91.27,8.47,124.0
599080201841,235 (IVI 10),Abril,2025,113766.17,9101.2593,1150.0,0.0,-0.4293,124017.0,46323.0,17060.0,11385.0,24519.0,2638.0,38542.0,76.0,77.0,75.0,91.44,8.34,124.0
599080201841,235 (IVI 10),Julio,2025,120513.27,9641.1111,1150.0,0.0,0.6189,131305.0,48280.0,21462.0,14599.0,30522.0,3159.0,48280.0,76.0,78.0,76.0,91.38,8.32,124.0
599080201841,235 (IVI 10),Agosto,2025,118971.56,9517.7037,1150.0,0.0,-0.2637,129639.0,48280.0,21564.0,15466.0,30112.0,3009.0,48587.0,75.0,74.0,73.0,91.4,8.7,124.0
